"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"244","","Vernon Davis","WAS","TE29","4","129","268","212.8","33.1","284.0","+40.0"
"245","","Terrance Williams","DAL","WR87","8","111","284","212.7","39.7","245.0","0.0"
"246","","Jordan Matthews","FA","WR88","","119","411","235.8","72.7","234.0","-12.0"
"247","","Sam Bradford","ARI","QB30","9","143","476","216.5","49.5","266.0","+19.0"
"248","","Tennessee (TEN)","","DST18","8","111","357","218.8","43.0","215.0","-33.0"
"249","","C.J. Prosise","SEA","RB73","7","137","283","229.1","44.7","288.0","+39.0"
"250","","Robbie Gould","SF","K12","11","124","372","210.7","35.4","223.0","-27.0"
"251","","Green Bay (GB)","","DST19","7","148","358","219.3","35.1","281.0","+30.0"
"252","","Graham Gano","CAR","K13","4","122","387","216.8","35.7","237.0","-15.0"
"253","","Terrelle Pryor","NYJ","WR89","11","120","278","220.3","39.5","251.0","-2.0"
"254","","Chase Edmonds","ARI","RB74","9","128","275","221.1","41.6","257.0","+3.0"
"255","","Willie Snead","BAL","WR90","10","132","301","225.2","39.9","268.0","+13.0"
"256","","Ryan Succop","TEN","K14","8","125","389","217.4","41.6","264.0","+8.0"
"257","","Adam Vinatieri","IND","K15","9","116","369","218.3","35.5","230.0","-27.0"
"258","","Tyler Boyd","CIN","WR91","9","91","307","231.1","61.4","391.0","+133.0"
"259","","Nick Vannett","SEA","TE30","7","152","312","224.7","48.3","355.0","+96.0"
"260","","Tyler Kroft","CIN","TE31","9","145","286","231.0","37.6","317.0","+57.0"
"261","","Alfred Morris","SF","RB75","11","140","309","223.4","46.9","341.0","+80.0"
"262","","Kai Forbath","FA","K16","","128","375","230.3","47.6","267.0","+5.0"
"263","","Jonathan Williams","NO","RB76","6","144","330","222.9","62.7","393.0","+130.0"
"264","","Cincinnati (CIN)","","DST20","9","107","339","225.0","37.6","326.0","+62.0"
"265","","Tre'Quan Smith","NO","WR92","6","135","315","236.6","55.5","265.0","0.0"
"266","","Lamar Jackson","BAL","QB31","10","153","534","249.8","84.5","214.0","-52.0"
"267","","Ameer Abdullah","DET","RB77","6","137","352","228.2","43.8","274.0","+7.0"
"268","","Dallas Goedert","PHI","TE32","9","159","310","222.6","47.0","254.0","-14.0"
"269","","Cleveland (CLE)","","DST21","11","114","382","258.6","73.5","294.0","+25.0"
"270","","Brandon McManus","DEN","K17","10","160","365","230.1","42.1","262.0","-8.0"
"271","","New York (NYG)","","DST22","9","168","359","224.9","39.6","292.0","+21.0"
"272","","Trent Taylor","SF","WR93","11","133","290","240.8","44.2","351.0","+79.0"
